city,latitutes,longtitudes,temperature (F),Temp_max (F),humidity,cloudiness,wind speed,date,country
port keats,-14.25,129.55,26.41,26.41,84,78,1.24,1644434857,AU
souillac,-20.5167,57.5167,24.21,24.21,88,75,2.57,1644434857,MU
pandamatenga,-18.5278,25.627,20.72,20.72,81,9,2.48,1644434875,BW
moron,-34.6534,-58.6198,27.46,30.01,49,4,3.13,1644434877,AR
buala,-8.145,159.5921,26.12,26.12,84,38,3.03,1644434878,SB
camana,-16.6228,-72.7111,23.69,23.69,65,12,4.04,1644434879,PE
east london,-33.0153,27.9116,22.09,22.09,77,1,3.62,1644434879,ZA
pisco,-13.7,-76.2167,21.03,23.34,83,40,4.12,1644434881,PE
san vicente de canete,-13.0751,-76.3835,23.25,23.25,72,55,4.16,1644434898,PE
santa maria,-29.6842,-53.8069,28.61,28.61,37,20,3.6,1644434900,BR
carnarvon,-24.8667,113.6333,24.04,24.04,78,0,6.69,1644434900,AU
mendi,-6.1761,143.6513,13.04,13.04,97,92,0.88,1644434733,PG
kikwit,-5.041,18.8162,24.8,24.8,67,36,1.19,1644434903,CD
flinders,-34.5833,150.8552,18.02,19.65,77,4,3.13,1644434904,AU
nabire,-3.3667,135.4833,23.99,23.99,93,100,0.83,1644434706,ID
batemans bay,-35.7167,150.1833,18.94,18.94,67,7,2.0,1644434920,AU
jutai,-5.1833,-68.9,22.63,22.63,98,100,0.93,1644434924,BR
bengkulu,-3.8004,102.2655,24.82,24.82,71,100,3.33,1644434944,ID
camocim,-2.9022,-40.8411,27.93,27.93,75,34,5.3,1644434945,BR
camacupa,-12.0167,17.4833,17.23,17.23,92,100,1.42,1644434945,AO
lufilufi,-13.8745,-171.5986,23.88,23.88,78,100,7.02,1644434946,WS
camacari,-12.6975,-38.3242,30.87,30.87,57,19,4.31,1644434946,BR
sambava,-14.2667,50.1667,25.62,25.62,87,58,1.62,1644434947,MG
acarau,-2.8856,-40.12,28.65,28.65,67,55,6.27,1644434948,BR
rio gallegos,-51.6226,-69.2181,18.03,18.03,13,40,16.98,1644434948,AR
samarinda,-0.5,117.15,22.97,22.97,100,100,1.12,1644434951,ID
lebu,-37.6167,-73.65,17.88,17.88,63,0,9.63,1644434968,CL
ilhabela,-23.7781,-45.3581,24.39,24.39,82,42,2.6,1644434970,BR
ancud,-41.8697,-73.8203,18.04,19.12,66,100,5.17,1644434972,CL
mopipi,-21.1833,24.8833,28.97,28.97,31,36,2.58,1644434972,BW
port hedland,-20.3167,118.5667,26.03,26.03,89,21,3.6,1644434991,AU
vaitape,-16.5167,-151.75,27.32,27.32,77,21,7.24,1644434745,PF
